FID,CTLabel,BoroCode,BoroName,CT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,nyct2010.poly_area,nyct2010.pct_qbuf,nyct2010.prop,OBJECTID *,Field1,X,name,totalpop,popdensity,mpop,fpop,pov,hhold,hhold_income,noins,transportation,pct_m_vuln,pct_f_vuln,pct_age_vuln,pct_pov,pct_noins,rank_noins,rank_pov,rank_agevuln,rank_income,rank_commute,rank_popdensity,pct_emp,rank_emp,rank_sum,BoroName,trunctfips,BoroCT2010,Shape_Area,flag_pov,flag_noins,flag_agevuln,flag_commute,flag_popdensity,flag_emp,flag_pov_75,flag_noins_75,flag_agevuln_75,flag_commute_75,flag_popdensity_75,flag_emp_75,flag_sum,flag_sum_75,fipstemp *
0,9,5,Staten Island,900,I,SI22,West New Brighton-New Brighton-St. George,3903,7729.016729,2497009.699,0.089568,0,0,1961,1961,1960,"Census Tract 9, Richmond County, New York",1962,21914.9,339,433,107,661,60352,269,0,0.172783,0.220693,0.393476,0.161875946,0,57.703488,41,82.655039,40.649225,57.703488,20.445736,0.000377,26.405039,326.986434,Staten Island,85000900,5000900,2497009.699,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000900
1,125,5,Staten Island,12500,I,SI22,West New Brighton-New Brighton-St. George,3903,10582.85553,4954936.238,0.177735,0,0,1994,1994,1993,"Census Tract 125, Richmond County, New York",2818,15944.7,519,468,191,932,77875,133,0,0.184173,0.166075,0.350248,0.204935622,0,10.949612,57,60.707364,21.414729,10.949612,12.54845,0.000258,15.261628,188.372093,Staten Island,85012500,5012500,4954936.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5012500
2,133.01,5,Staten Island,13301,E,SI22,West New Brighton-New Brighton-St. George,3903,3428.312676,721784.6622,0.025891,0,0,2001,2001,2000,"Census Tract 133.01, Richmond County, New York",1746,67156.5,284,431,458,637,15285,174,0,0.162658,0.24685,0.409507,0.71899529,0,36.870155,99,87.45155,99.370155,36.870155,74.127907,0.000859,67.44186,501.501938,Staten Island,85013301,5013301,721784.6622,1,0,0,0,0,0,1,0,1,0,0,0,1,2,5013301
3,197,5,Staten Island,19700,I,SI07,Westerleigh,3903,9097.697231,3231720.012,0.115922,0,0,2032,2032,2031,"Census Tract 197, Richmond County, New York",1761,15195.3,300,311,59,703,93125,72,0,0.170358,0.176604,0.346962,0.083926031,0,8.381783,12,58.381783,11.046512,8.381783,11.627907,0.00034,22.965116,133.139535,Staten Island,85019700,5019700,3231720.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5019700
4,64,5,Staten Island,6400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,12726.36045,7643183.682,0.274163,0,0,1977,1977,1976,"Census Tract 64, Richmond County, New York",3116,11374.7,575,631,296,1152,50880,281,0,0.184531,0.202503,0.387035,0.256944444,0,31.492248,69,80.03876,55.03876,31.492248,7.703488,0.0002,8.914729,283.624031,Staten Island,85006400,5006400,7643183.682,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5006400
5,74,5,Staten Island,7400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,9902.948471,5788237.871,0.207625,0,0,1980,1980,1979,"Census Tract 74, Richmond County, New York",4725,18549.6,544,782,269,1614,72866,409,0,0.115132,0.165503,0.280635,0.166666667,0,29.263566,43,20.833333,25.920543,29.263566,16.133721,0.000316,20.542636,184.883721,Staten Island,85007400,5007400,5788237.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5007400
6,22.02,1,Manhattan,2202,I,MN28,Lower East Side,3809,3817.391631,603922.2756,0.021663,83.246771,1618.323706,1082,1082,1081,"Census Tract 22.02, New York County, New York",1944,89765.3,82,168,183,986,76250,266,0,0.042181,0.08642,0.128601,0.185598377,0,57.50969,49,1.792636,22.868217,57.50969,85.901163,0.002196,97.432171,371.802326,Manhattan,61002202,1002202,603922.2756,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1002202
7,32,1,Manhattan,3200,I,MN22,East Village,3809,6358.386684,2334190.232,0.083728,166.367885,7643.756867,1093,1093,1092,"Census Tract 32, New York County, New York",7802,92828.5,718,905,860,4517,67318,549,0,0.092028,0.115996,0.208024,0.190391853,0,21.414729,51,6.395349,31.540698,21.414729,87.063953,0.001829,94.815891,313.420543,Manhattan,61003200,1003200,2334190.232,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1003200
8,68,1,Manhattan,6800,I,MN21,Gramercy,3808,5723.883037,1877943.253,0.067362,198.364719,6957.998594,1127,1127,1126,"Census Tract 68, New York County, New York",6973,103529.4,524,485,686,3854,104252,179,0,0.075147,0.069554,0.144701,0.177996886,0,3.924419,46,2.47093,7.848837,3.924419,91.036822,0.001972,95.978682,251.647287,Manhattan,61006800,1006800,1877943.253,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1006800
9,89,1,Manhattan,8900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5578.769499,1782278.507,0.063931,274.761486,5610.603381,1148,1148,1147,"Census Tract 89, New York County, New York",5614,87815.8,678,612,439,3058,87802,224,0,0.12077,0.109013,0.229783,0.143557881,0,8.042636,35,8.866279,14.147287,8.042636,85.02907,0.00178,93.895349,253.343023,Manhattan,61008900,1008900,1782278.507,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1008900
10,96,1,Manhattan,9600,E,MN17,Midtown-Midtown South,3807,5737.356247,1887288.401,0.067697,311.796857,147.000007,1155,1155,1154,"Census Tract 96, New York County, New York",147,2171.5,3,0,11,128,91875,0,0,0.020408,0,0.020408,0.0859375,0,1.114341,13,0.484496,11.967054,1.114341,1.744186,0.000317,20.639535,49.95155,Manhattan,61009600,1009600,1887288.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009600
11,98,1,Manhattan,9800,I,MN19,Turtle Bay-East Midtown,3808,5534.199811,1906016.35,0.068369,364.736166,7232.999767,1157,1157,1156,"Census Tract 98, New York County, New York",7233,105797.1,891,1170,335,4201,110735,246,0,0.123185,0.161759,0.284944,0.079742918,0,6.153101,11,22.141473,5.474806,6.153101,91.860465,0.002087,96.753876,239.292636,Manhattan,61009800,1009800,1906016.35,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1009800
12,100,1,Manhattan,10000,I,MN19,Turtle Bay-East Midtown,3808,5692.168488,1860938.378,0.066752,437.965189,1826.000208,1159,1159,1158,"Census Tract 100, New York County, New York",1826,27353.9,215,261,225,1217,108542,112,0,0.117744,0.142935,0.260679,0.184880855,0,17.102713,49,15.213178,6.25,17.102713,28.924419,0.000722,57.267442,190.455426,Manhattan,61010000,1010000,1860938.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010000
13,102,1,Manhattan,10200,I,MN17,Midtown-Midtown South,3807,5687.802579,1860992.536,0.066754,393.533068,224.999996,1161,1161,1160,"Census Tract 102, New York County, New York",225,3370.6,22,26,61,124,100500,82,0,0.097778,0.115556,0.213333,0.491935484,0,98.934109,95,7.170543,8.817829,98.934109,2.374031,0.00029,18.217054,329.699612,Manhattan,61010200,1010200,1860992.536,1,1,0,1,0,0,1,1,0,1,0,0,3,3,1010200
14,104,1,Manhattan,10400,I,MN17,Midtown-Midtown South,3807,5693.036118,1864600.351,0.066884,322.355334,1020.999992,1163,1163,1162,"Census Tract 104, New York County, New York",1021,15265,151,225,112,673,107875,55,0,0.147894,0.220372,0.368266,0.166419019,0,14.001938,43,71.124031,6.637597,14.001938,11.773256,0.000429,31.443798,191.715116,Manhattan,61010400,1010400,1864600.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010400
15,112.01,1,Manhattan,11201,I,MN17,Midtown-Midtown South,3807,3716.146785,856164.3561,0.030711,212.894406,843.000059,1170,1170,1169,"Census Tract 112.01, New York County, New York",843,27451.2,96,98,34,589,225250,16,0,0.113879,0.116251,0.23013,0.057724958,0,2.422481,5,8.963178,1.017442,2.422481,29.118217,0.000737,58.963178,108.042636,Manhattan,61011201,1011201,856164.3561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011201
16,112.02,1,Manhattan,11202,I,MN17,Midtown-Midtown South,3807,3688.762328,839525.7815,0.030114,262.896919,265.999967,1171,1171,1170,"Census Tract 112.02, New York County, New York",266,8831.6,41,40,8,183,153594,12,0,0.154135,0.150376,0.304511,0.043715847,0,9.786822,3,31.056202,1.937984,9.786822,4.94186,0.000455,33.817829,94.186047,Manhattan,61011202,1011202,839525.7815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011202
17,112.03,1,Manhattan,11203,I,MN19,Turtle Bay-East Midtown,3808,3701.173031,854082.5154,0.030636,241.137403,1265.703803,1172,1172,1171,"Census Tract 112.03, New York County, New York",1298,43129.4,183,286,135,738,117059,33,0,0.140986,0.220339,0.361325,0.182926829,0,3.77907,48,67.199612,4.748062,3.77907,49.467054,0.000919,71.027132,248.062016,Manhattan,61011203,1011203,854082.5154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011203
18,113,1,Manhattan,11300,I,MN17,Midtown-Midtown South,3807,5699.860641,1890907.331,0.067827,354.140295,144.541278,1173,1173,1172,"Census Tract 113, New York County, New York",146,2152.8,2,2,4,66,81786,17,0,0.013699,0.013699,0.027397,0.060606061,0,45.978682,6,0.532946,18.362403,45.978682,1.695736,0.00028,17.296512,135.755814,Manhattan,61011300,1011300,1890907.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011300
19,114.02,1,Manhattan,11402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.2561,1063547.405,0.03815,135.614212,2367.484232,1175,1175,1174,"Census Tract 114.02, New York County, New York",2385,62522.1,468,496,119,1305,147125,83,0,0.196226,0.207966,0.404193,0.091187739,0,6.29845,15,85.804264,2.180233,6.29845,70.930233,0.001132,81.29845,267.684108,Manhattan,61011402,1011402,1063547.405,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1011402
20,130,1,Manhattan,13000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.972956,1918144.54,0.068804,44.028394,1305.32917,1190,1190,1189,"Census Tract 130, New York County, New York",3693,53666.8,885,1034,198,1901,217070,21,0,0.239643,0.279989,0.519632,0.104155708,0,1.30814,19,98.594961,1.162791,1.30814,61.821705,0.000721,57.073643,240.261628,Manhattan,61013000,1013000,1918144.54,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1013000
21,140,1,Manhattan,14000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.81564,1925984.223,0.069085,366.821278,7633.000791,1200,1200,1199,"Census Tract 140, New York County, New York",7633,110376.9,1194,1320,211,3742,131964,112,0,0.156426,0.172933,0.329359,0.056386959,0,1.841085,5,46.366279,3.003876,1.841085,92.926357,0.00173,93.410853,244.331395,Manhattan,61014000,1014000,1925984.223,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1014000
22,146.01,1,Manhattan,14601,I,MN32,Yorkville,3805,4016.133393,799879.9085,0.028692,550.632559,4403.999227,1206,1206,1205,"Census Tract 146.01, New York County, New York",4404,153459.1,492,436,276,2550,114792,397,0,0.111717,0.099001,0.210718,0.108235294,0,31.443798,21,6.686047,4.99031,31.443798,98.643411,0.003218,99.757752,293.943799,Manhattan,61014601,1014601,799879.9085,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1014601
